"","D3","D9","D11","D12","D16","D22","D24","D28","D29","D31","D33","D35","D41","D42","D43","D44","D46","D48","D51","D54","D55","D57","D58","D59","D60","D61","D63","D64","D65","D66","H1","H3","H5","H9","H10","H12","H15","H16","H20","H21","H24","H25","H26","H27","H29","H30","H31","H34","H37","H38","H40","H41","H43","H44","H45","H46","H47","H48","H50","H52"
"Label","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"N-[3-(1H-imidazol-1-yl)propyl]-5-methoxy-1H-indole-2-carboxamide","-0.529017258","-0.430880331","-0.515221286","-0.306208937","-0.303756504","-0.441111140","-0.483124613","-0.257803709","-0.443054323","-0.075652761","-0.459562342","-0.354850951","-0.478061450","-0.301275298"," 1.894275140","-0.510032830","-0.315552834","-0.426574676","-0.475659144","-0.110758129","-0.428301519"," 0.737417342","-0.045799192"," 0.129042679","-0.389082464","-0.306783434"," 1.334186518","-0.152486425","-0.375324790","-0.222348268","-0.391391181"," 0.014295241","-0.064787300","-0.164121724","-0.248922597","-0.229291166"," 0.097043348","-0.395234358","-0.270677787","-0.322360743","-0.322051961"," 2.450082599","-0.370800137","-0.354968584"," 0.404164364"," 1.659513618","-0.197984928","-0.373918091","-0.414846575","-0.370601812","-0.332657550"," 1.413460152","-0.300810435","-0.294156259","-0.484505543","-0.002923855","-0.537327131","-0.354261861","-0.195431686"," 5.998836870"
"ethyl 5-methoxy-2-methyl-1-phenyl-1H-indole-3-carboxylate","-0.482827813","-0.421685477","-0.526160743","-0.300723131"," 6.893816065","-0.169244252","-0.339721726"," 0.427651964","-0.494644556","-0.399944623","-0.203125209"," 0.462942685"," 0.197254259"," 0.695234855","-0.398389781","-0.230659182","-0.388778151","-0.307671573","-0.340511982","-0.047621551","-0.513627694","-0.132585172","-0.056500257","-0.355765520","-0.342383321","-0.448782026"," 0.299984595","-0.429901441","-0.273517515"," 0.968171136"," 0.051444498"," 0.089181876"," 1.049323638","-0.174553976"," 0.135130794","-0.398910366","-0.239021944","-0.533229835","-0.318151318","-0.243992085"," 1.107165996"," 0.021312441"," 0.399395040","-0.374304747","-0.242762601","-0.122273733"," 1.207170578","-0.106704539","-0.480727186","-0.517888393","-0.004097174","-0.161745606","-0.371834584","-0.411075189","-0.440180686","-0.266273927","-0.382235519","-0.420563940","-0.459902800"," 0.270022425"
"19(R)-HETE","-0.596907936","-0.145474892","-0.723933411","-0.080115052","-0.461319593","-0.101841369","-0.544833875"," 0.679044115"," 0.081321526"," 0.476874299","-0.377766598","-0.589462214","-0.551429052","-0.550003465","-0.673394429","-0.581568789"," 0.349401911","-0.718974656","-0.826026316","-0.156593218","-0.759731254","-0.120791798"," 0.039634302","-0.507609536","-0.434896432","-0.655923779"," 1.222966617","-0.559610117"," 1.346162281","-0.136099539"," 0.724225569","-0.002475183"," 0.323410728"," 3.360164048","-0.438106157","-0.253547986"," 1.133217064","-0.573509985","-0.112316012"," 4.392981656","-0.037429785","-0.828069650","-0.136843994"," 2.475453021","-0.286452478"," 1.067701382","-0.102908226"," 0.316763697","-0.455511534","-0.851097542"," 0.066166155","-0.482352065","-0.663695963","-0.345616753","-0.721252714","-0.377623125","-0.901578520"," 1.758993739","-0.665475502","-0.724311618"
"Dihydrothymine","-0.27145364","-0.40323288","-0.42246832"," 1.38601066","-0.42366846","-0.41038003","-0.38818494","-0.36587132"," 4.20393320"," 0.88686888","-0.36286405","-0.36462982","-0.34096965"," 2.97904654"," 1.59427930","-0.42952228","-0.08703136","-0.32083568","-0.44117245","-0.08447528"," 1.29940818","-0.36936069"," 0.31587376","-0.13781435","-0.40590259","-0.02942418","-0.36179565","-0.16394665","-0.40081032","-0.38896814","-0.43885120","-0.41834454","-0.36623277","-0.34047214","-0.40396727","-0.33745587","-0.38622193"," 4.36295534","-0.25412265","-0.31150744","-0.24810420","-0.45216585","-0.40476387","-0.38562480","-0.40181844","-0.32987616","-0.27818046","-0.42836058","-0.29666041","-0.43132071","-0.42394282","-0.35816928","-0.38862118","-0.14945292","-0.42303325","-0.41882343","-0.25823423","-0.40041351","-0.02417318"," 0.10532196"
"7-Aminoflunitrazepam-d7","-0.16927105","-0.19590718","-0.23598236","-0.20543150","-0.18988685","-0.17807720","-0.07653360","-0.03854354","-0.01127357","-0.20362009","-0.21907306","-0.13703616","-0.17559366","-0.18488010","-0.21224835","-0.17214006","-0.22595725","-0.02639493","-0.22263796","-0.17175714","-0.20210695"," 6.86899370"," 0.05843019","-0.19735076","-0.04703603","-0.22814406","-0.22192334","-0.12762844","-0.14298414","-0.20558649","-0.04225254","-0.22430106","-0.20436266","-0.17215951","-0.20758586","-0.15792735","-0.20918581","-0.20525473","-0.17527371","-0.14070164","-0.21261221","-0.24120436","-0.20966917","-0.18217179","-0.15662090","-0.20296171","-0.22234895","-0.21474612","-0.22347263","-0.13760544","-0.22265522","-0.22843320","-0.18720878"," 3.13913352","-0.15304321","-0.13784368","-0.24336732","-0.19617268","-0.22840551","-0.10200385"
"Noroxymorphone","-0.34484261"," 0.36592699","-0.99140389","-0.19846463"," 0.83793358"," 0.33185131","-0.98635203","-0.46879494","-1.08764841","-0.34128942"," 0.04983175","-0.46062817","-0.86990000","-0.33632305","-1.20261858"," 0.30650034","-0.16724360","-0.64873945"," 0.04955857"," 4.27133428","-0.96129749","-0.05385346"," 1.62820849"," 0.63895353","-0.61021474","-0.70077066","-0.91528143","-0.62726685"," 1.27781989","-0.77154349"," 0.64315521","-0.79942703","-0.54326136"," 0.45973896"," 0.42468140","-0.31417005"," 0.69235612","-0.92151591","-0.40076009","-0.63640954"," 1.43610228"," 1.54769188","-0.41437869"," 0.78090777"," 0.80283496","-0.06130685","-0.71228957","-0.10288961","-0.19206463","-0.94112651","-0.32910307"," 0.62011290"," 2.08753275"," 1.41697224"," 1.30983740"," 1.05716308","-1.22571540","-0.70753881","-1.16062922","-0.82994246"
"Ranitidine N-oxide","-0.39817630","-0.36194727","-0.32278449","-0.46152719","-0.21549339","-0.46965714","-0.36402803","-0.38416897","-0.24203979","-0.23842344","-0.33189306","-0.32504265","-0.40190009","-0.25045300"," 6.57091231","-0.33252554","-0.48838219","-0.37275871","-0.16149243","-0.36187363","-0.44842349","-0.31082318"," 0.26482323","-0.32368958","-0.42969790","-0.37884437"," 0.23949496","-0.05760126"," 0.21916366","-0.26397037"," 0.01925115","-0.10822487","-0.36156296"," 2.31647224","-0.09957615"," 0.59844207","-0.29913703","-0.48386529"," 1.16953950"," 0.54677290","-0.14160136","-0.30077334","-0.46474980"," 1.49485882","-0.22567259"," 0.91254046","-0.39945200","-0.27037574","-0.29571012","-0.43337429","-0.37298416","-0.39024240"," 0.01155140","-0.18575789","-0.31813226","-0.35010525"," 0.03694402"," 0.06896564","-0.33153418"," 0.06071678"
"Phenothiazine","-0.17783212","-0.17467850","-0.16790522","-0.16607735","-0.09441426","-0.16103666","-0.15987781","-0.14210008","-0.16042040","-0.15768069","-0.15244094"," 0.19567348","-0.16297304","-0.15366923","-0.03604468","-0.16859875","-0.15224705","-0.16996124","-0.16472052","-0.16995450","-0.05132830","-0.14760755","-0.15206981","-0.15535319","-0.17302081","-0.16755973","-0.15150157","-0.13648291","-0.13645253","-0.14627440","-0.13092225","-0.15194757","-0.12917532","-0.13322785","-0.14186782","-0.14733554","-0.13864716","-0.17525339","-0.15056247","-0.15369650","-0.14804351","-0.16344172","-0.16620043","-0.15945091","-0.15626103","-0.12223515"," 0.06165493","-0.17030408","-0.17216565","-0.17903708","-0.16212830","-0.14589756"," 7.59642805","-0.15632322"," 0.04318136"," 0.10776164","-0.07711109","-0.15609747","-0.13891465"," 0.03183208"
"YMH","-0.21778930"," 0.01633718","-0.23353558","-0.13760412","-0.22127395","-0.15717415","-0.25182405"," 0.35551091","-0.24710179","-0.13826190","-0.24589314","-0.25608074","-0.20595253","-0.22972211","-0.21891116","-0.27145727","-0.26567038","-0.21931814","-0.25287567","-0.13717125","-0.27206549","-0.19265308","-0.13559756","-0.01826537","-0.26289525","-0.27190948","-0.12495242","-0.23481886"," 0.23804692","-0.05047667","-0.24874081","-0.22286802","-0.02477106","-0.09246873","-0.20452715","-0.24771380"," 5.19549543","-0.26604098","-0.13175675","-0.19272155","-0.12015807","-0.26530127","-0.22142293","-0.14539889","-0.25804145","-0.11530705","-0.26098836"," 0.09846583","-0.24972189","-0.27191394","-0.26588408"," 5.40433643","-0.26336333","-0.21146953","-0.25326828","-0.24289930","-0.28779165","-0.25144998","-0.25108981","-0.26986263"
"Triacanthine","-0.29255611","-0.26454067","-0.33584093","-0.18627180","-0.34487295","-0.19493878","-0.24379690"," 3.47327963","-0.27724557","-0.28953203","-0.18763602","-0.30036630","-0.06933608","-0.18101732","-0.44785816","-0.29750091","-0.15611255","-0.23681159","-0.42076252","-0.14275107","-0.47054600","-0.24014601"," 0.27925628","-0.12034293","-0.46715457","-0.27725675","-0.15570156","-0.33654122","-0.30082114","-0.34482461","-0.38970891"," 0.01703269","-0.21971626","-0.18686462","-0.13585993","-0.40077747","-0.27409399","-0.30675521"," 0.07916502","-0.01624959","-0.16479148"," 4.17256730"," 0.30380635","-0.16704116","-0.15624103","-0.18744818","-0.44414689","-0.17588686","-0.26325831","-0.36297830","-0.24930054"," 5.01544731","-0.14625247","-0.30632242","-0.35826299"," 0.12355761","-0.46495521","-0.09798818"," 0.01147300","-0.41760216"
"Methyl-2-aminobenzoate","-0.34504512","-0.31123178"," 0.45212893","-0.70987205"," 0.43997908","-0.31803826"," 0.23735727"," 1.59815683"," 2.81030547","-0.36102991"," 0.81006849"," 1.08690398","-0.42667394","-0.97828233","-1.20775548","-0.61977261","-0.75549835","-0.49738891"," 0.35910602","-0.36717725","-1.21262237","-0.09330328"," 0.80441968","-0.12526548","-0.82395311","-0.95450511","-0.53127732","-0.86427218"," 1.34076057"," 1.52404245","-0.92789776","-0.19094362"," 0.44639176","-0.75652581"," 0.01099912","-0.78964341","-1.08352951","-0.31864594","-0.56857773"," 0.12953582"," 0.82307237"," 2.85067953","-0.27915820","-0.67062809"," 0.65320719","-0.20991494"," 0.32217216","-0.43205172","-0.60307440","-1.25109962"," 1.16009540"," 0.82746169"," 0.13063977","-0.10813163"," 2.63774869"," 1.82531888","-1.60658827","-0.33042902","-0.70713710","-0.94360954"
"Licochalcone A","-0.153409484","-0.150183425","-0.164778997","-0.157780127","-0.169660707","-0.160861913","-0.163625177","-0.140419448","-0.074489073","-0.148159756","-0.147807909","-0.162714466","-0.143609269","-0.146196569","-0.074148802","-0.153977300","-0.158949683","-0.130509877","-0.172897833"," 7.605487734","-0.112961878","-0.127825503","-0.152314671","-0.164617931"," 0.148804488","-0.169261508","-0.153754916","-0.077798850","-0.133293259","-0.153968000","-0.098434133","-0.164445308","-0.128424092","-0.005159443","-0.164210587","-0.031867703","-0.134289572"," 0.021810794","-0.133099395","-0.138501965","-0.135019219","-0.154478062","-0.159857978","-0.084689601","-0.155869192","-0.136639905","-0.154982197","-0.142165269","-0.164788310","-0.074244962","-0.162121013","-0.161248669","-0.169753098","-0.071633016","-0.156849861","-0.157050338","-0.161126940","-0.147990622","-0.087101229","-0.120085009"
"PC (7:0/8:0)","-0.90250510"," 0.49798540","-0.91170775"," 0.60560925","-0.42451547","-0.20575667","-0.92470747","-0.58695133","-0.46240904","-0.20173535"," 1.69286404"," 0.37312831","-0.45896114","-0.87967843","-0.72081223"," 0.46154799","-0.40584124","-0.55037649","-0.55374472","-0.76830629","-0.90246304","-0.14486191"," 0.16654532"," 1.82572762"," 0.05594156","-0.46734545"," 0.73653266"," 0.99200358"," 2.20622134","-0.40144467"," 0.03845387","-0.09677368","-0.90163826","-0.31888866"," 0.59236176","-0.58711593","-0.27913965","-0.54198778"," 1.02853039","-0.32193425","-0.48783959","-0.73489285"," 2.10840697"," 3.22933361","-0.88772756","-1.03830217"," 2.35188443","-0.13279729","-0.59933391","-0.77647623"," 0.28523114","-0.09092646","-0.41096797"," 2.78986007","-0.90833902","-0.89638043","-0.10216775","-0.15758163","-1.04445826"," 0.15162383"
"4-Phenyl-3-buten-2-one","-0.955094412","-0.443451751","-0.943339584","-0.030910866"," 0.112768954"," 0.191113178","-0.667760192"," 0.027383784"," 2.192682494"," 0.150143814","-0.409356205","-0.784924247","-0.715416810","-0.667742772","-0.688951200","-0.282689816","-0.007456587","-0.504517934","-1.057406539"," 0.121889913"," 0.443665264"," 0.566318430","-0.223857425"," 0.797557092"," 3.425592013","-0.631682975","-0.393543249"," 0.497006936"," 0.764008771"," 0.890586358"," 2.368036580","-0.487596835"," 0.184308712","-0.256206899","-0.698799809","-0.324180961","-0.695601910","-0.697644783","-0.048468493"," 4.481561665","-0.485745903","-0.975092240","-0.615822573","-0.566701748","-0.483644620"," 0.202187495"," 0.359400191","-0.814696121","-0.598637543"," 0.573654379","-0.125898390","-0.426283334","-0.534784215","-0.049640604"," 0.042467986","-0.781215176"," 0.637739864","-0.157719765","-0.106300532"," 0.308711146"
"9(S)-HOTrE","-0.33597817","-0.16587878","-0.35276297","-0.01590201","-0.26797667","-0.18484428","-0.24312300","-0.14796338","-0.12488520","-0.01417133","-0.24206174","-0.23662544","-0.26489322","-0.30635942","-0.21275442","-0.27717820"," 0.03304701","-0.19284010","-0.28025854"," 7.18012349","-0.37185886","-0.16159607","-0.11611818","-0.29044239"," 0.02340922","-0.30308908","-0.05877540","-0.30032318","-0.09125007","-0.04138847","-0.16061198","-0.05389224"," 0.78094768"," 0.03582013","-0.21673345","-0.09685151","-0.25280553","-0.23560009"," 0.03636323"," 1.93584878"," 0.16843978","-0.35883256"," 0.18505472","-0.02243045","-0.24143878"," 0.29259108","-0.02489869","-0.32249770","-0.27582259","-0.33497142","-0.18367734","-0.21873060","-0.35438029","-0.21885200","-0.36183997","-0.22634576","-0.39997983"," 0.11887536","-0.32800368","-0.30002543"
"Saxitoxin","-0.40522799","-0.26198202","-0.40518068","-0.26735719","-0.37431631","-0.37662105","-0.38574546","-0.25981038","-0.37868314","-0.34552974","-0.38564445","-0.20156569","-0.31899600","-0.35644225","-0.29233802","-0.32138007","-0.39300859","-0.31343844"," 1.21538560","-0.27664144","-0.38914324"," 0.08305369"," 1.53152026"," 0.04102751","-0.34671068","-0.31896945","-0.38260217"," 0.67327443","-0.35671989"," 3.32589629","-0.38564345","-0.21432045"," 6.12301588"," 0.26565386"," 0.02817325","-0.35461763","-0.36626436"," 0.73285041","-0.23712553"," 0.46853584","-0.36345996","-0.39610409","-0.36782558","-0.05552883","-0.29363918"," 0.18160932","-0.35983872","-0.34371532","-0.34355335","-0.40706962","-0.37930359","-0.13973585","-0.36055099","-0.05496347","-0.38854565","-0.38207631","-0.34507976","-0.38314556"," 0.12468413"," 0.24148114"
"2,6-Di-tert-butyl-1,4-benzoquinone","-0.46272268","-0.35108500"," 1.46901514","-0.21734198","-0.26157056","-0.36988448","-0.38780560","-0.34992380"," 4.75173251","-0.30858552","-0.39232067","-0.41247541","-0.37716998"," 1.01172203","-0.40242743"," 3.47551260","-0.23385470","-0.43331973","-0.04846384","-0.36477742","-0.44699582","-0.25582772","-0.23369012","-0.31609352","-0.43854651","-0.37980658","-0.33319976","-0.13328591","-0.32590117","-0.40842997","-0.39862368","-0.43024228","-0.42199911"," 0.31760528","-0.34750321","-0.02441708"," 2.99205527","-0.41258457","-0.22299613","-0.31805908","-0.27027366","-0.35354260","-0.38263398","-0.06524613","-0.40574984"," 0.82154878","-0.45543218","-0.39179143"," 0.28653312","-0.41474641","-0.41910270","-0.24047877","-0.40336364"," 2.21162627","-0.36836349","-0.44737832","-0.45665492","-0.22092749","-0.39796939","-0.42176506"
"Diphenylamine","-0.899710246","-0.286066065","-0.990927841","-0.027625386"," 1.010799918","-0.984168516","-0.337391015","-0.151810907","-0.950325901"," 0.062262682"," 0.841232569"," 0.711447415","-0.630359966","-1.108593735","-1.145315763","-0.437612554"," 0.662920105","-0.318046534"," 3.984602201","-0.824152841","-0.740114436","-0.333817976"," 0.835351573"," 0.008805376","-0.318426081","-0.240499659","-0.704693748"," 0.379253694","-0.610123579"," 1.918950669","-0.606669210"," 0.223545727"," 1.154844261"," 0.635950513"," 1.833327337","-0.684480356","-0.733941453","-0.236523596"," 0.321969203"," 1.151198359"," 0.456046742","-1.214086514"," 0.261608949"," 0.250216183","-0.393643071"," 2.693849662"," 0.432924346","-0.951085573","-0.579390639","-0.853119086"," 0.123129065","-0.340984610"," 1.039720615","-0.880448481","-0.938217088","-0.936608973","-0.695403577"," 1.379284164","-0.806883465"," 0.518027112"
"D-(+)-Camphor","-0.28805242","-0.13501847","-0.24862867","-0.07609374"," 0.07148300","-0.19098844","-0.18129734","-0.04933819","-0.06447931","-0.02299066","-0.16234128","-0.11081711","-0.14505757","-0.13267957","-0.28929054","-0.19189127","-0.04858323","-0.09382790","-0.26987062","-0.18290873","-0.17707267"," 0.14812735","-0.04474638","-0.14911843"," 0.01701063","-0.20789497"," 0.33773760","-0.19473425","-0.09144794"," 0.08385881","-0.07358350","-0.18712792","-0.09659565","-0.11030478","-0.16278782","-0.12700333","-0.12912200","-0.24222014","-0.16687288","-0.12699520","-0.09095873"," 0.05578949","-0.18824169","-0.15711846","-0.12690309"," 0.01466194","-0.06782511","-0.23569443","-0.23446302","-0.21395133","-0.13222761","-0.01267411","-0.11145408","-0.10005618","-0.40009835","-0.38024481","-0.23497560"," 7.56151448","-0.25923995","-0.17227383"
"3-(5-pyridin-3-yl-2-thienyl)prop-2-yn-1-ol","-0.154249003","-0.098963392","-0.142185414","-0.137429176","-0.124578359","-0.067675139","-0.149783758"," 0.003653787","-0.146237628","-0.137317990","-0.129461440","-0.140976989","-0.157034939","-0.160474031","-0.148260586","-0.143620281","-0.153551105","-0.158112540","-0.139781736","-0.142186179","-0.159326584","-0.136431009","-0.108618584","-0.151648791","-0.085971248","-0.158585990","-0.117977069","-0.161813572","-0.132519839","-0.147794618","-0.122572993","-0.118551732","-0.111358721","-0.139160704","-0.140575402","-0.114556083","-0.133134310","-0.154714212","-0.124225864","-0.135310026","-0.126682315","-0.131241240","-0.137388532","-0.133442463","-0.110631556","-0.114734628","-0.140662548","-0.136188239","-0.166671030","-0.145587753","-0.101783795"," 0.030656429"," 7.612256547","-0.152649088","-0.057957197","-0.146723202","-0.147598688","-0.128171758","-0.146168249","-0.135557450"
"Harmine","-0.57385242","-0.29759038","-0.54965632"," 0.38899189"," 0.89731288","-0.56789362","-0.35179403"," 0.26885384","-0.47753473","-0.07197338"," 0.03744160"," 0.22285980","-0.24855626","-0.61500685","-0.58463462","-0.49117289","-0.02042572","-0.32109344"," 0.85777150","-0.46948495","-0.65609095","-0.31461614"," 0.47229375"," 0.03191788","-0.28917029","-0.21032963","-0.47310101"," 0.69532109","-0.25196772"," 0.19922792","-0.21964850"," 6.92190145"," 0.27752252"," 0.28010777","-0.07096537","-0.43315461","-0.37718887","-0.34663547"," 0.55193498"," 0.12787798","-0.05905439","-0.46050777"," 0.46300901"," 0.42663657","-0.43301737"," 1.14249810"," 0.17417809","-0.15286925","-0.37157993","-0.57059806","-0.22551137","-0.20451101","-0.20269327","-0.34765283","-0.27658082","-0.48128690","-0.55840453"," 0.02466010","-0.48069355","-0.35381948"
"5,7-dihydroxy-3-(4-hydroxyphenyl)-4H-chromen-4-one","-2.629601e-01","-2.490977e-01","-2.706839e-01","-2.601164e-01","-1.980637e-01","-2.511070e-01","-2.289916e-01","-2.044854e-01"," 9.693541e-02","-2.449481e-01","-2.227729e-01","-2.446551e-01","-2.626440e-01","-2.607553e-01"," 3.888460e+00","-2.639576e-01","-2.477397e-01","-2.612311e-01","-2.685089e-01","-2.546816e-01"," 9.975195e-01","-2.714467e-01","-2.406695e-01"," 9.193932e-01","-2.727976e-01","-2.810430e-01","-2.663200e-01","-2.790576e-01","-2.353723e-01","-2.162152e-01","-2.673991e-01","-2.557413e-01","-1.879379e-01","-2.660041e-01","-2.573163e-01","-2.496184e-01","-2.669313e-01","-2.778553e-01","-2.389105e-01","-2.567493e-01","-2.521811e-01","-2.695638e-01","-2.472203e-01","-2.580106e-01"," 6.160421e-02","-2.567850e-01","-2.610313e-01","-2.652643e-01","-2.654179e-01","-2.892471e-01","-2.307158e-01","-2.315218e-01","-2.583496e-01","-2.425850e-01","-2.412129e-01","-1.967072e-01"," 6.145867e+00","-2.688947e-01"," 3.080351e-05"," 9.696839e-01"
